10000,AVEIRO,1975-04-25,359353,330999,0,17133
20000,BEJA,1975-04-25,140243,129191,0,9574
30000,BRAGA,1975-04-25,360707,337297,0,21143
40000,BRAGAN?A,1975-04-25,110219,100517,0,9956
50000,CASTELO BRANCO,1975-04-25,168951,153208,0,17227
60000,COIMBRA,1975-04-25,296398,264113,0,26352
70000,?VORA,1975-04-25,134318,127119,0,6070
80000,FARO,1975-04-25,226111,205334,0,18853
90000,GUARDA,1975-04-25,138184,126934,0,12444
100000,LEIRIA,1975-04-25,267451,241585,0,24162
110000,LISBOA,1975-04-25,1384149,1269638,0,72222
120000,PORTALEGRE,1975-04-25,107331,102255,0,7438
130000,PORTO,1975-04-25,892474,837507,0,43486
140000,SANTAR?M,1975-04-25,320953,294991,0,25501
150000,SET?BAL,1975-04-25,403399,377224,0,20790
160000,VIANA DO CASTELO,1975-04-25,156999,140001,0,12200
170000,VILA REAL,1975-04-25,159110,140511,0,16012
180000,VISEU,1975-04-25,262457,235097,0,18831
190000,ANGRA DO HERO?SMO,1975-04-25,49698,45196,0,1592
200000,HORTA,1975-04-25,25422,22936,0,909
210000,PONTA DELGADA,1975-04-25,84299,76506,0,5198
220000,MADEIRA,1975-04-25,140060,126329,0,5501
750010,MACAU,1975-04-25,3437,2876,0,224
750020,MO?AMBIQUE,1975-04-25,17739,6080,0,3584
750030,EMIGRA??O,1975-04-25,21910,18385,0,273
10000,AVEIRO,1976-04-25,381918,323117,0,13730
20000,BEJA,1976-04-25,143333,120125,0,5478
30000,BRAGA,1976-04-25,382434,342544,0,18133
40000,BRAGAN?A,1976-04-25,122980,95144,0,6745
50000,CASTELO BRANCO,1976-04-25,176159,142266,0,11443
60000,COIMBRA,1976-04-25,310085,240085,0,16046
70000,?VORA,1976-04-25,137049,121196,0,4024
80000,FARO,1976-04-25,236744,191160,0,11133
90000,GUARDA,1976-04-25,148574,122076,0,8781
100000,LEIRIA,1976-04-25,277582,222752,0,13404
110000,LISBOA,1976-04-25,1431819,1197789,0,41184
120000,PORTALEGRE,1976-04-25,110543,96056,0,5643
130000,PORTO,1976-04-25,936819,827194,0,35526
140000,SANTAR?M,1976-04-25,325169,271902,0,14937
150000,SET?BAL,1976-04-25,423293,358675,0,12436
160000,VIANA DO CASTELO,1976-04-25,163949,129750,0,7921
170000,VILA REAL,1976-04-25,166189,130133,0,9623
180000,VISEU,1976-04-25,277780,217772,0,13224
210001,A?ORES,1976-04-25,162898,127126,0,3383
220000,MADEIRA,1976-04-25,143641,114859,0,3328
750040,CIRCULO DA EUROPA,1976-04-25,57341,51693,0,996
750050,CIRCULO FORA DA EUROPA,1976-04-25,48368,40047,0,578
10000,AVEIRO,1979-12-02,405459,357926,1985,6653
20000,BEJA,1979-12-02,144127,125270,1121,2633
30000,BRAGA,1979-12-02,416650,380407,1995,7830
40000,BRAGAN?A,1979-12-02,125225,105220,809,3198
50000,CASTELO BRANCO,1979-12-02,178513,153642,1246,4397
60000,COIMBRA,1979-12-02,318971,268374,2290,9136
70000,?VORA,1979-12-02,138546,125841,1131,1913
80000,FARO,1979-12-02,242757,205953,1977,5335
90000,GUARDA,1979-12-02,154485,133771,795,3658
100000,LEIRIA,1979-12-02,293564,254113,1968,5750
110000,LISBOA,1979-12-02,1495234,1313372,9130,18075
120000,PORTALEGRE,1979-12-02,110975,98924,1106,2066
130000,PORTO,1979-12-02,1364425,911338,4889,12393
140000,SANTAR?M,1979-12-02,335231,288737,2430,6388
150000,SET?BAL,1979-12-02,457112,403544,3260,4939
160000,VIANA DO CASTELO,1979-12-02,172323,145411,1356,4567
170000,VILA REAL,1979-12-02,171488,145817,1212,6007
180000,VISEU,1979-12-02,285903,243929,1656,7013
210001,A?ORES,1979-12-02,156458,130094,910,4233
220000,MADEIRA,1979-12-02,149617,127391,560,3076
750040,CIRCULO DA EUROPA,1979-12-02,59184,42203,394,712
750050,CIRCULO FORA DA EUROPA,1979-12-02,73089,46176,643,879
10000,AVEIRO,1980-10-05,417378,359266,1722,5185
20000,BEJA,1980-10-05,145989,123146,885,2589
30000,BRAGA,1980-10-05,433979,387576,1731,6366
40000,BRAGAN?A,1980-10-05,128428,102843,619,2587
50000,CASTELO BRANCO,1980-10-05,180917,152284,926,4134
60000,COIMBRA,1980-10-05,325589,265611,1733,5431
70000,?VORA,1980-10-05,140538,125934,771,1672
80000,FARO,1980-10-05,247707,206338,1594,4956
90000,GUARDA,1980-10-05,156432,130740,1033,3047
100000,LEIRIA,1980-10-05,299972,251276,1392,4360
110000,LISBOA,1980-10-05,1527416,1320324,6135,16730
120000,PORTALEGRE,1980-10-05,112472,99174,747,1733
130000,PORTO,1980-10-05,1116231,922091,3774,12717
140000,SANTAR?M,1980-10-05,342279,290402,1775,5088
150000,SET?BAL,1980-10-05,468891,407098,2348,5068
160000,VIANA DO CASTELO,1980-10-05,177716,145566,979,2932
170000,VILA REAL,1980-10-05,177379,143573,816,4128
180000,VISEU,1980-10-05,292767,240518,1376,7250
210001,A?ORES,1980-10-05,157927,120401,1284,2968
220000,MADEIRA,1980-10-05,153439,124138,1238,2304
750040,CIRCULO DA EUROPA,1980-10-05,70426,43913,740,752
750050,CIRCULO FORA DA EUROPA,1980-10-05,105151,64183,904,1143
10000,AVEIRO,1983-04-25,432703,342090,2184,6350
